Ticker,Current Price,5d Change %,Avg Vol (M),Vol Spike,Volatility %,RSI,Signal Score,Sector
FCX,66.45,8.6,17.7,0.71,3.6,78.1,10.58,Mining
NVDA,183.91,4.6,168.7,0.69,2.1,55.9,6.1,Tech
VALE,16.65,3.7,27.9,0.77,2.4,76.3,5.37,Mining
NEM,119.01,4.6,11.6,0.59,3.1,79.7,3.75,Mining
AAPL,260.49,1.9,40.1,0.7,1.4,65.7,2.68,Tech
NEE,94.48,1.8,8.9,0.83,1.1,60.7,1.78,Renewable
BHP.AX,54.17,3.1,10.0,0.35,2.2,74.7,1.38,Mining
S32.AX,4.61,2.9,18.0,0.23,3.3,68.4,1.18,Mining
ASX.AX,58.23,9.1,1.0,0.64,2.0,82.0,0.75,Shipping
NXT.AX,12.67,8.2,2.5,0.27,4.1,44.2,0.61,Tech
QUB.AX,4.98,1.6,8.8,0.28,0.6,63.6,0.56,Shipping
SBLK,24.19,2.3,1.4,0.63,2.5,60.3,0.26,Shipping
ZIM,26.4,1.7,1.9,0.56,1.4,55.8,0.24,Shipping
RIO.AX,171.8,2.8,1.5,0.32,2.4,70.9,0.17,Mining
MATX,172.1,4.4,0.3,0.61,1.9,70.0,0.1,Shipping
MIN.AX,57.67,2.3,1.2,0.29,4.1,62.0,0.08,Mining
REA.AX,157.57,-1.7,0.3,0.37,2.3,48.9,-0.02,Tech
IGO.AX,8.1,-0.7,3.0,0.2,3.5,67.3,-0.05,Renewable
TNE.AX,27.37,-1.9,1.5,0.36,2.9,57.6,-0.12,Tech
FSLR,197.25,-1.1,1.7,0.63,2.6,48.2,-0.14,Renewable
ORG.AX,12.31,-0.9,4.9,0.3,1.8,59.8,-0.18,Energy
AGL.AX,9.67,-2.5,2.8,0.24,1.8,63.9,-0.22,Renewable
XRO.AX,71.18,-7.5,0.7,0.77,3.6,41.0,-0.49,Tech
STO.AX,7.85,-1.5,23.0,0.2,1.8,45.1,-0.59,Energy
WTC.AX,37.58,-5.1,1.7,0.79,4.7,42.1,-0.75,Tech
TCL.AX,13.58,-1.9,5.9,1.0,1.2,39.6,-1.52,Shipping
WDS.AX,32.94,-6.1,10.5,0.28,3.3,46.4,-2.13,Energy
FMG.AX,20.1,-4.7,6.5,0.68,2.6,59.4,-2.54,Mining
BPT.AX,1.21,-6.2,16.1,0.29,2.7,39.7,-3.32,Energy
CVX,190.36,-3.6,15.2,0.77,1.9,36.9,-5.31,Energy
WHC.AX,7.92,-14.3,7.3,0.56,3.8,37.1,-6.69,Energy
XOM,155.04,-3.6,25.9,1.0,2.1,46.1,-6.83,Energy
ENPH,31.26,-18.3,5.2,1.26,4.2,21.2,-13.35,Renewable
TSLA,345.62,-9.3,64.9,0.96,2.6,36.4,-16.51,Tech
