Ticker,Current Price,1mo Change %,Avg Vol (M),Vol Spike,Volatility %,RSI,Signal Score,Sector
VALE,16.65,8.5,27.9,0.77,2.4,76.3,12.26,Mining
FCX,66.45,8.0,17.7,0.71,3.6,78.1,9.84,Mining
BPT.AX,1.21,8.5,16.1,0.28,2.7,39.7,4.45,Energy
XOM,155.04,2.3,25.9,1.0,2.1,46.1,4.37,Energy
NEE,94.48,3.1,8.9,0.83,1.1,60.7,3.11,Renewable
WDS.AX,32.9,8.1,10.5,0.28,3.3,46.2,2.79,Energy
S32.AX,4.61,5.7,18.0,0.23,3.3,68.4,2.31,Mining
STO.AX,7.82,5.9,23.0,0.2,1.8,44.2,2.25,Energy
NEM,119.01,2.4,11.6,0.59,3.1,79.7,1.97,Mining
BHP.AX,54.17,4.3,10.0,0.35,2.2,74.6,1.88,Mining
ASX.AX,58.28,17.7,1.0,0.63,2.0,82.1,1.43,Shipping
ORG.AX,12.31,5.8,4.9,0.3,1.8,59.8,1.11,Energy
RIO.AX,171.85,10.7,1.5,0.32,2.4,70.9,0.63,Mining
AGL.AX,9.66,7.1,2.8,0.24,1.8,63.4,0.61,Renewable
SBLK,24.19,3.8,1.4,0.63,2.5,60.3,0.42,Shipping
MATX,172.1,11.8,0.3,0.61,1.9,70.0,0.28,Shipping
FMG.AX,20.08,0.5,6.5,0.67,2.6,59.1,0.26,Mining
QUB.AX,4.99,0.5,8.8,0.26,0.6,64.6,0.17,Shipping
IGO.AX,8.1,2.0,3.0,0.19,3.5,67.3,0.14,Renewable
TNE.AX,27.42,1.0,1.5,0.36,2.9,57.9,0.07,Tech
REA.AX,157.77,-6.9,0.3,0.37,2.3,49.1,-0.09,Tech
MIN.AX,57.66,-4.4,1.2,0.28,4.1,62.0,-0.16,Mining
AAPL,260.49,-0.1,40.1,0.7,1.4,65.7,-0.17,Tech
NXT.AX,12.69,-2.4,2.5,0.26,4.1,44.3,-0.18,Tech
FSLR,197.25,-1.5,1.7,0.63,2.6,48.2,-0.19,Renewable
ZIM,26.4,-2.8,1.9,0.56,1.4,55.8,-0.38,Shipping
XRO.AX,71.35,-12.8,0.7,0.75,3.6,41.2,-0.81,Tech
CVX,190.36,-0.7,15.2,0.77,1.9,36.9,-1.11,Energy
NVDA,183.91,-1.1,168.7,0.69,2.1,55.9,-1.5,Tech
WTC.AX,37.65,-23.4,1.7,0.78,4.7,42.2,-3.44,Tech
WHC.AX,7.93,-9.0,7.3,0.55,3.8,37.2,-4.11,Energy
TCL.AX,13.56,-5.4,5.9,0.99,1.2,39.2,-4.34,Shipping
ENPH,31.26,-27.9,5.2,1.26,4.2,21.2,-20.3,Renewable
TSLA,345.62,-15.3,64.9,0.96,2.6,36.4,-26.94,Tech
