Ticker,Current Price,5d Change %,Avg Vol (M),Vol Spike,Volatility %,RSI,Signal Score,Sector
FCX,66.45,8.6,17.7,0.71,3.6,78.1,10.58,Mining
NVDA,183.91,4.6,168.7,0.69,2.1,55.9,6.1,Tech
VALE,16.65,3.7,27.9,0.77,2.4,76.3,5.37,Mining
NEM,119.01,4.6,11.6,0.59,3.1,79.7,3.75,Mining
AAPL,260.49,1.9,40.1,0.7,1.4,65.7,2.68,Tech
NEE,94.48,1.8,8.9,0.83,1.1,60.7,1.78,Renewable
BHP.AX,54.02,2.8,10.0,0.41,2.2,73.7,1.44,Mining
S32.AX,4.6,2.7,18.0,0.29,3.3,68.2,1.36,Mining
NXT.AX,12.89,10.1,2.5,0.38,4.1,45.8,1.08,Tech
ASX.AX,58.26,9.2,1.0,0.79,2.0,82.1,0.93,Shipping
QUB.AX,4.97,1.5,8.8,0.36,0.6,62.7,0.7,Shipping
SBLK,24.19,2.3,1.4,0.63,2.5,60.3,0.26,Shipping
ZIM,26.4,1.7,1.9,0.56,1.4,55.8,0.24,Shipping
RIO.AX,171.46,2.6,1.5,0.39,2.4,70.4,0.19,Mining
MIN.AX,57.94,2.7,1.2,0.35,4.1,62.6,0.12,Mining
MATX,172.1,4.4,0.3,0.61,1.9,70.0,0.1,Shipping
REA.AX,158.36,-1.2,0.3,0.46,2.3,49.7,-0.02,Tech
IGO.AX,8.14,-0.2,3.1,0.25,3.5,68.2,-0.02,Renewable
TNE.AX,27.51,-1.4,1.5,0.45,2.9,58.4,-0.11,Tech
FSLR,197.25,-1.1,1.7,0.63,2.6,48.2,-0.14,Renewable
ORG.AX,12.35,-0.6,5.0,0.54,1.8,60.8,-0.2,Energy
AGL.AX,9.64,-2.8,2.8,0.29,1.8,62.6,-0.3,Renewable
STO.AX,7.91,-0.8,23.0,0.27,1.8,46.6,-0.43,Energy
XRO.AX,71.66,-6.9,0.7,0.91,3.6,41.6,-0.54,Tech
WTC.AX,38.11,-3.7,1.8,0.92,4.7,43.0,-0.65,Tech
TCL.AX,13.6,-1.7,5.9,1.06,1.1,40.1,-1.49,Shipping
FMG.AX,20.27,-3.9,6.5,0.78,2.5,61.2,-2.43,Mining
WDS.AX,33.1,-5.7,10.5,0.35,3.3,47.1,-2.44,Energy
BPT.AX,1.22,-5.4,16.1,0.33,2.7,40.8,-3.33,Energy
CVX,190.36,-3.6,15.2,0.77,1.9,36.9,-5.31,Energy
XOM,155.04,-3.6,25.9,1.0,2.1,46.1,-6.83,Energy
WHC.AX,8.1,-12.4,7.4,0.81,3.7,38.8,-8.5,Energy
ENPH,31.26,-18.3,5.2,1.26,4.2,21.2,-13.35,Renewable
TSLA,345.62,-9.3,64.9,0.96,2.6,36.4,-16.51,Tech
